ID,SONG,NAME,SRC,YEAR
1,"Love Sombody","Morgan Wallen","https://open.spotify.com/embed/track/7hR22TOX3RorxJPcsz5Wbo?utm_source=generator",2024
2,"Perfect","Ed Sheeran","https://open.spotify.com/embed/track/0tgVpDi06FyKpA1z0VMD4v?utm_source=generator",2017
3,"Orange Juice","Noah Kahan","https://open.spotify.com/embed/track/07UFnnK3uPIuKv5Rs9TmXl?utm_source=generator",2022
4,"Jolene","Dolly Parten","https://open.spotify.com/embed/track/2SpEHTbUuebeLkgs9QB7Ue?utm_source=generator",1974
5,"Dancing on my own","Calum Scott","https://open.spotify.com/embed/track/2BOqDYLOJBiMOXShCV1neZ?utm_source=generator",2018
6,"American Nights","Zach Bryan","https://open.spotify.com/embed/track/3c9EsIo34kil8Oj1reaozB?utm_source=generator",2024
7,"Quitter","Cameron Whitecomb","https://open.spotify.com/embed/track/4grI6xJppi9eh905YPvGhg?utm_source=generator",2025
8,"Maps","Maroon 5","https://open.spotify.com/embed/track/4gbVRS8gloEluzf0GzDOFc?utm_source=generator", 2014 
9,"Love Me Like You Do","Ellie Goulding","https://open.spotify.com/embed/track/0Cy7wt6IlRfBPHXXjmZbcP?utm_source=generator",2018









